datetime,code,open,close,high,low,vol,amount,p_change
2019/12/9,2801.908447,2801.908447,2801.908447,2801.908447,2801.908447,2801.908447,2801.908447,2801.908447
2019/12/9,2802.099609,2802.099609,2802.099609,2802.099609,2802.099609,2802.099609,2802.099609,2802.099609
2019/12/9,2800.188477,2800.188477,2800.188477,2800.188477,2800.188477,2800.188477,2800.188477,2800.188477
2019/12/9,2801.526367,2801.526367,2801.526367,2801.526367,2801.526367,2801.526367,2801.526367,2801.526367
2019/12/9,2804.202148,2804.202148,2804.202148,2804.202148,2804.202148,2804.202148,2804.202148,2804.202148
2019/12/10,2800.952881,2800.952881,2800.952881,2800.952881,2800.952881,2800.952881,2800.952881,2800.952881
2019/12/10,2803.628662,2803.628662,2803.628662,2803.628662,2803.628662,2803.628662,2803.628662,2803.628662
2019/12/10,2801.908447,2801.908447,2801.908447,2801.908447,2801.908447,2801.908447,2801.908447,2801.908447
2019/12/10,2801.335449,2801.335449,2801.335449,2801.335449,2801.335449,2801.335449,2801.335449,2801.335449
2019/12/10,2804.202148,2804.202148,2804.202148,2804.202148,2804.202148,2804.202148,2804.202148,2804.202148
2019/12/10,2804.393066,2804.393066,2804.393066,2804.393066,2804.393066,2804.393066,2804.393066,2804.393066
2019/12/10,2806.495361,2806.495361,2806.495361,2806.495361,2806.495361,2806.495361,2806.495361,2806.495361
2019/12/10,2806.495361,2806.495361,2806.495361,2806.495361,2806.495361,2806.495361,2806.495361,2806.495361
2019/12/11,2803.628662,2803.628662,2803.628662,2803.628662,2803.628662,2803.628662,2803.628662,2803.628662
2019/12/11,2809.170898,2809.170898,2809.170898,2809.170898,2809.170898,2809.170898,2809.170898,2809.170898
2019/12/11,2808.024414,2808.024414,2808.024414,2808.024414,2808.024414,2808.024414,2808.024414,2808.024414
2019/12/11,2810.317627,2810.317627,2810.317627,2810.317627,2810.317627,2810.317627,2810.317627,2810.317627
2019/12/11,2811.655273,2811.655273,2811.655273,2811.655273,2811.655273,2811.655273,2811.655273,2811.655273
2019/12/11,2818.153076,2818.153076,2818.153076,2818.153076,2818.153076,2818.153076,2818.153076,2818.153076
2019/12/11,2816.624512,2816.624512,2816.624512,2816.624512,2816.624512,2816.624512,2816.624512,2816.624512
2019/12/11,2819.299805,2819.299805,2819.299805,2819.299805,2819.299805,2819.299805,2819.299805,2819.299805
2019/12/12,2816.81543,2816.81543,2816.81543,2816.81543,2816.81543,2816.81543,2816.81543,2816.81543
2019/12/12,2815.477539,2815.477539,2815.477539,2815.477539,2815.477539,2815.477539,2815.477539,2815.477539
2019/12/12,2815.286377,2815.286377,2815.286377,2815.286377,2815.286377,2815.286377,2815.286377,2815.286377
2019/12/12,2812.993164,2812.993164,2812.993164,2812.993164,2812.993164,2812.993164,2812.993164,2812.993164
2019/12/12,2812.419678,2812.419678,2812.419678,2812.419678,2812.419678,2812.419678,2812.419678,2812.419678
2019/12/12,2811.464111,2811.464111,2811.464111,2811.464111,2811.464111,2811.464111,2811.464111,2811.464111
2019/12/12,2812.61084,2812.61084,2812.61084,2812.61084,2812.61084,2812.61084,2812.61084,2812.61084
2019/12/12,2808.406494,2808.406494,2808.406494,2808.406494,2808.406494,2808.406494,2808.406494,2808.406494
2019/12/13,2850.069092,2850.069092,2850.069092,2850.069092,2850.069092,2850.069092,2850.069092,2850.069092
